# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	14636
#@/user_id	ab1a0a9a-848f-4c46-9606-7e4acefc5a43
a 	啊	c=113 d=3.14348 t=14600
ao 	傲	c=1 d=1 t=11226
ao 	奧	c=1 d=0.1 t=6490
ao 	熬	c=1 d=1.04534 t=9379
ao lao shi 	熬老師	c=1 d=1 t=8820
ao zhou 	澳洲	c=1 d=1 t=1324
ba 	吧	c=33 d=1.59378 t=12889
ba 	巴	c=2 d=1.99005 t=3689
ba 	把	c=29 d=1.19197 t=14351
ba bu de 	巴不得	c=1 d=1 t=7778
ba ni 	把你	c=0 d=0.1 t=11421
ba tai 	吧檯	c=0 d=0.1 t=2995
ba zhe 	把這	c=1 d=1 t=10317
ba zi 	靶子	c=1 d=1 t=12192
bai 	白	c=4 d=1.10184 t=13457
bai 	百	c=1 d=1 t=8842
bai du 	百度	c=16 d=2.95732 t=13944
bai du bai ke 	百度百科	c=1 d=1 t=6030
bai du di tu 	百度地圖	c=2 d=1.00001 t=8523
bai du fan yi 	百度翻譯	c=1 d=1 t=8796
bai du yun 	百度雲	c=4 d=3.67472 t=4090
bai fa 	擺法	c=1 d=1 t=3824
bai hua wen 	白話文	c=1 d=1 t=11204
bai huo 	百貨	c=0 d=0.1 t=10517
bai juan 	白卷	c=1 d=1 t=7495
bai se 	白色	c=1 d=1 t=535
bai zhe qun 	百褶裙	c=1 d=1 t=4410
bai zi 	白字	c=1 d=1 t=558
ban 	半	c=2 d=1.42316 t=10003
ban 	斑	c=1 d=1 t=14007
ban 	版	c=11 d=8.4998 t=10909
ban 	班	c=11 d=1.04991 t=13206
ban ben 	版本	c=6 d=1.00009 t=12906
ban ben hao 	版本號	c=1 d=1 t=720
ban jia 	半價	c=1 d=1 t=2884
ban kuai 	板塊	c=1 d=1 t=5091
ban li 	辦理	c=1 d=1 t=14498
ban tian 	半天	c=2 d=1 t=3042
ban zhang 	班長	c=1 d=1 t=7552
ban zu 	班組	c=1 d=1 t=10997
bang 	幫	c=5 d=1.75667 t=13404
bang da jia kan kan 	幫大家看看	c=1 d=1 t=1808
bang ni 	幫你	c=0 d=0.1 t=9326
bang ni dao zhe le 	幫你到這了	c=1 d=1 t=9327
bang wo 	幫我	c=3 d=1.01716 t=11913
bang zhu 	幫助	c=1 d=0.100254 t=9765
bang zhu da jia 	幫助大家	c=1 d=1 t=9766
bao 	保	c=5 d=1.12956 t=12424
bao 	包	c=4 d=1 t=8981
bao 	爆	c=2 d=1.00049 t=5110
bao chi 	保持	c=1 d=1 t=10573
bao cun 	保存	c=5 d=0.269483 t=8032
bao cun cheng gong 	保存成功	c=1 d=1 t=8033
bao cun zai 	保存在	c=1 d=1 t=8874
bao cuo 	報錯	c=5 d=0.1 t=12667
bao gao 	報告	c=2 d=1 t=9982
bao han 	包含	c=1 d=1 t=6103
bao hu tao 	保護套	c=3 d=2.98012 t=4748
bao kuo 	包括	c=1 d=1 t=8362
bao li 	暴力	c=1 d=1 t=213
bao lie 	爆裂	c=1 d=1 t=3775
bao long 	暴龍	c=0 d=0.1 t=2783
bei 	備	c=1 d=1 t=11421
bei 	唄	c=12 d=1.00013 t=14551
bei 	背	c=1 d=1 t=10424
bei 	被	c=12 d=1.32467 t=12232
bei bao 	背包	c=1 d=1 t=9447
bei fen 	備份	c=4 d=1 t=9040
bei jing 	北京	c=39 d=2.22227 t=14188
bei jing 	背景	c=10 d=1 t=13483
bei jing hang tian 	北京航天	c=1 d=0.1 t=8055
bei jing hang tian chuang zhi 	北京航天創智	c=1 d=1 t=8056
bei jing jiao tong 	北京交通	c=3 d=1 t=13706
bei jing jiao tong da xue 	北京交通大學	c=14 d=1.45911 t=12349
bei jing jiao tong da xue hai bin xue yuan 	北京交通大學海濱學院	c=3 d=1 t=11876
bei jing shi 	北京市	c=11 d=5.60686 t=13652
bei jing tu 	背景圖	c=1 d=1 t=561
bei na 	貝納	c=0 d=0.1 t=3593
bei na ke 	貝納克	c=1 d=1 t=3594
ben 	本	c=7 d=2.8568 t=13686
ben ben 	本本	c=1 d=1 t=3191
ben di 	本地	c=4 d=0.871185 t=660
ben ke 	本科	c=2 d=1.90484 t=914
ben lai 	本來	c=1 d=1 t=11764
ben ren 	本人	c=1 d=1 t=13505
ben shen 	本身	c=1 d=1 t=12179
ben zhan 	本站	c=1 d=1 t=9456
beng 	崩	c=1 d=1 t=5347
beng kui 	崩潰	c=6 d=5.10251 t=6820
beng kui de 	崩潰的	c=1 d=1 t=6784
bi 	比	c=9 d=1 t=10555
bi a bu 	比阿布	c=1 d=1 t=1414
bi ji 	筆記	c=2 d=1.00019 t=2162
bi ji ben 	筆記本	c=2 d=1 t=5592
bi jiao 	比較	c=3 d=1 t=8308
bi jiao wan 	比較晚	c=2 d=1 t=14414
bi jing 	畢竟	c=2 d=1.25032 t=11385
bi le 	比了	c=0 d=0.1 t=3160
bi ran 	必然	c=1 d=1 t=3229
bi ru 	比如	c=2 d=1 t=9266
bi she 	畢設	c=6 d=1.00028 t=12976
bi shi 	筆試	c=2 d=1.82696 t=6479
bi tao 	筆套	c=1 d=1 t=4750
bi ti 	鼻涕	c=1 d=1 t=12279
bi xu 	必須	c=2 d=1 t=10582
bi yan 	閉眼	c=1 d=1 t=2728
bi yao 	必要	c=1 d=1 t=1349
bi ye 	畢業	c=19 d=3.57243 t=14206
bi ye le 	畢業了	c=2 d=1 t=14158
bi ye she ji 	畢業設計	c=1 d=1 t=13190
bi ye sheng 	畢業生	c=7 d=2.50663 t=14207
bi ye zheng 	畢業證	c=1 d=1 t=14400
bi zhi 	壁紙	c=3 d=2.9605 t=71
bian 	編	c=2 d=1.99005 t=5431
bian 	變	c=1 d=1 t=5030
bian 	邊	c=1 d=1 t=7608
bian cheng 	編程	c=2 d=1 t=12869
bian cheng 	變成	c=2 d=1 t=12870
bian cheng yu yan 	編程語言	c=1 d=1 t=1842
bian ji 	編輯	c=3 d=2.96536 t=1928
bian jing 	邊境	c=2 d=1.00752 t=4991
bian ju 	邊距	c=1 d=1 t=7574
bian kuang 	邊框	c=3 d=1.99005 t=12023
bian kuang xian 	邊框線	c=1 d=1 t=3038
bian le 	變了	c=1 d=1 t=7076
bian li 	遍歷	c=6 d=1 t=4679
bian liang 	變量	c=1 d=0.1 t=14299
bian pao 	鞭炮	c=0 d=0.1 t=14357
bian wei 	變爲	c=1 d=1 t=1600
bian xian 	邊線	c=1 d=1 t=3010
bian xie 	編寫	c=3 d=1 t=14506
bian xie de 	編寫的	c=1 d=1 t=6285
bian xing 	變形	c=1 d=1 t=5845
bian yi 	編譯	c=4 d=1.97531 t=11259
bian yu 	便於	c=2 d=1.96561 t=6471
biao 	標	c=1 d=1 t=11895
biao 	表	c=23 d=2.14583 t=13199
biao da shi 	表達式	c=1 d=1 t=8902
biao ge 	表格	c=8 d=1.16449 t=13192
biao ji 	標記	c=1 d=1 t=10612
biao ji yi xia 	標記一下	c=1 d=1 t=1023
biao shang 	標上	c=1 d=1 t=10724
biao shi 	表示	c=5 d=1.00006 t=8416
biao ti 	標題	c=5 d=1.01626 t=8550
biao zhi 	標誌	c=2 d=1.27117 t=1268
biao zhu 	標註	c=1 d=1 t=7650
biao zhun 	標準	c=2 d=1 t=6716
biao zhun cha 	標準差	c=1 d=1 t=14472
bie 	別	c=8 d=1.00042 t=12059
bie dang zhen 	別當真	c=1 d=1 t=1058
bie de 	別的	c=2 d=1 t=7908
bie de zhao 	別的招	c=1 d=1 t=4897
bie fa 	別發	c=2 d=1.00013 t=13054
bie guan 	別管	c=0 d=0.1 t=7696
bie guan le 	別管了	c=1 d=1 t=7697
bie mai 	別買	c=1 d=1 t=1829
bie niu 	彆扭	c=1 d=1 t=7818
bie ren 	別人	c=5 d=1.0446 t=6573
bie shua 	別刷	c=1 d=1 t=1956
bie xiang 	別像	c=0 d=0.1 t=9781
bie xiang wo 	別像我	c=1 d=1 t=9782
bie zhao ji 	別着急	c=1 d=1 t=10100
bie zhe 	憋着	c=0 d=0.1 t=9001
bie zhe dian 	憋着點	c=1 d=1 t=9002
bing 	並	c=6 d=1 t=6567
bing 	兵	c=1 d=1 t=7600
bing 	冰	c=1 d=1 t=2694
bing 	病	c=1 d=1 t=3727
bing 	餅	c=1 d=1 t=4462
bing bu 	並不	c=1 d=1 t=5300
bing bu neng 	並不能	c=1 d=1 t=1570
bing dui 	並對	c=1 d=1 t=8254
bing fa 	併發	c=5 d=1 t=9811
bing qi lin 	冰淇淋	c=1 d=1 t=5446
bing shi yong 	並使用	c=1 d=1 t=989
bing ya 	冰牙	c=1 d=1 t=4595
bing yuan 	冰原	c=21 d=1.90319 t=5930
bo 	博	c=99 d=2.8323 t=13958
bo 	波	c=2 d=1 t=14006
bo bo 	啵啵	c=1 d=1 t=2092
bo ke 	博客	c=6 d=1.17371 t=1993
bu 	不	c=34 d=1.11585 t=14245
bu 	埠	c=1 d=1 t=13685
bu 	布	c=1 d=1 t=12144
bu chu 	不出	c=3 d=1 t=14268
bu chu lai 	不出來	c=0 d=0.1 t=7664
bu chu qu 	不出去	c=1 d=1 t=13057
bu cun zai 	不存在	c=1 d=1 t=4270
bu cuo 	不錯	c=2 d=1.65377 t=12343
bu da yu 	不大於	c=1 d=1 t=13484
bu dao 	不到	c=3 d=1 t=14243
bu de 	不得	c=2 d=1 t=8092
bu di 	不低	c=1 d=1 t=361
bu duan 	不斷	c=4 d=2.64066 t=1549
bu dui 	不對	c=4 d=1 t=13344
bu fen 	部分	c=1 d=1 t=7233
bu gei 	補給	c=1 d=1 t=8760
bu gei yi ge 	補給一個	c=1 d=1 t=5595
bu geng xin 	不更新	c=1 d=1 t=6743
bu gou 	不夠	c=2 d=1.76166 t=3868
bu guan 	不管	c=1 d=1 t=3353
bu guan 	不關	c=1 d=1 t=3371
bu guan le 	不管了	c=1 d=1 t=11093
bu gui 	不歸	c=1 d=1 t=3126
bu guo 	不過	c=4 d=1.03492 t=8085
bu guo qu 	不過去	c=0 d=0.1 t=5173
bu hao 	不好	c=2 d=1 t=14098
bu hao de di fang 	不好的地方	c=1 d=1 t=2279
bu hao kan 	不好看	c=1 d=1 t=8794
bu hao shi 	不好使	c=3 d=1 t=10098
bu hao yong 	不好用	c=1 d=1 t=10090
bu hao zhao 	不好找	c=1 d=1 t=7420
bu he li 	不合理	c=3 d=2.96546 t=9096
bu hui 	不會	c=3 d=1 t=13220
bu hui qu 	不會去	c=0 d=0.1 t=10666
bu hui qu le 	不會去了	c=1 d=1 t=10667
bu ji ge 	不及格	c=1 d=1 t=9178
bu jia 	不佳	c=1 d=1 t=9445
bu jian rong 	不兼容	c=1 d=1 t=790
bu jiu 	不久	c=1 d=1 t=10691
bu kan 	不看	c=0 d=0.1 t=6633
bu ke neng 	不可能	c=1 d=1 t=10154
bu liao 	不了	c=0 d=0.100002 t=3171
bu ma fan 	不麻煩	c=1 d=1 t=3070
bu mai 	不買	c=1 d=1 t=1338
bu men 	部門	c=1 d=1 t=7258
bu ming 	不明	c=1 d=1 t=13796
bu neng 	不能	c=5 d=1.00848 t=14169
bu quan 	不全	c=1 d=1 t=1884
bu quan 	補全	c=5 d=1.95623 t=12672
bu que ding 	不確定	c=1 d=1.05016 t=13859
bu ren shi 	不認識	c=2 d=1.94649 t=13681
bu shang 	不上	c=1 d=1 t=14285
bu shang qu 	不上去	c=1 d=1 t=9099
bu sheng cheng 	不生成	c=1 d=1 t=12929
bu sheng xiao 	不生效	c=1 d=1 t=11263
bu shi 	不是	c=15 d=1.40993 t=14168
bu shi ba 	不是吧	c=1 d=1 t=11542
bu shi fei chang da 	不是非常大	c=1 d=1 t=9355
bu shi yong 	不適用	c=1 d=1 t=4711
bu shou 	不收	c=1 d=1 t=10501
bu shu 	部署	c=9 d=1 t=11207
bu shuo 	不說	c=1 d=1 t=13100
bu tai 	不太	c=3 d=0.102456 t=3789
bu tai gou 	不太夠	c=1 d=1 t=3790
bu tai qing chu 	不太清楚	c=0 d=0.1 t=10221
bu ting 	不聽	c=1 d=1 t=12203
bu tong 	不同	c=8 d=1.00046 t=12308
bu wan 	不完	c=0 d=0.1 t=4338
bu wan le 	不完了	c=1 d=1 t=4339
bu wan zheng 	不完整	c=1 d=1 t=8480
bu wang 	不忘	c=1 d=1 t=8132
bu wen ding 	不穩定	c=1 d=1 t=1134
bu wu 	不無	c=0 d=0.1 t=1110
bu wu ke neng le 	不無可能了	c=1 d=1 t=1111
bu xian shi 	不顯示	c=1 d=1 t=5409
bu xing 	不行	c=5 d=1 t=10970
bu xu yao 	不需要	c=2 d=0.108877 t=9426
bu xu yao mi ma 	不需要密碼	c=1 d=1 t=9427
bu yao 	不要	c=2 d=1 t=8298
bu yao le 	不要了	c=1 d=1 t=8526
bu yao qiu 	不要求	c=1 d=1 t=6391
bu yi yang 	不一樣	c=3 d=1.00647 t=13208
bu ying gai 	不應該	c=1 d=1 t=2186
bu yong 	不用	c=13 d=1.00146 t=14357
bu yong li lun shang 	不用理論上	c=1 d=1 t=3183
bu zhao 	補招	c=1 d=1 t=7311
bu zhi dao 	不知道	c=15 d=1.07723 t=13676
bu zhi dao a 	不知道啊	c=1 d=1 t=3078
bu zhi dao ne 	不知道呢	c=1 d=1 t=6847
bu zuo 	不做	c=1 d=1 t=8791
cai 	才	c=3 d=1 t=12568
cai 	菜	c=1 d=1 t=11524
cai dan 	菜單	c=1 d=1.0956 t=9111
cai fang 	採訪	c=1 d=1 t=5534
cai liao 	材料	c=1 d=1 t=3821
cai niao 	菜鳥	c=1 d=1.01092 t=11283
cai niao jiao cheng 	菜鳥教程	c=1 d=1 t=10841
cai se 	彩色	c=1 d=1 t=3774
cai shi 	纔是	c=0 d=0.1 t=9546
cai shi yi ge 	纔是一個	c=1 d=1 t=9547
cai suan 	纔算	c=1 d=1 t=1624
cai wu 	財務	c=3 d=1 t=10949
cai yong 	採用	c=5 d=2.78448 t=10927
can 	慘	c=1 d=1 t=9784
can jia 	參加	c=1 d=1.01969 t=3496
can jia bu liao 	參加不了	c=1 d=1 t=3172
can kao 	參考	c=1 d=1 t=2966
can kao wen xian 	參考文獻	c=2 d=1.81058 t=2987
can ren 	殘忍	c=1 d=1 t=11104
can shu 	參數	c=1 d=1 t=6905
cao 	操	c=4 d=1.09695 t=6414
cao 	曹	c=1 d=0.682748 t=12177
cao cao 	曹操	c=4 d=1.01648 t=13272
cao chong gun 	操蟲棍	c=1 d=1 t=5931
cao cong 	草叢	c=1 d=1 t=6336
cao lao ban 	曹老闆	c=1 d=1 t=12178
cao zuo 	操作	c=5 d=1.8781 t=14279
cao zuo fu 	操作符	c=2 d=1.99005 t=14299
cao zuo xi tong 	操作系統	c=1 d=1 t=9558
ce 	測	c=3 d=1.08511 t=10658
ce hua 	策劃	c=2 d=1.95123 t=10029
ce liang ci 	測兩次	c=1 d=1 t=10659
ce shi 	測試	c=23 d=1.9927 t=11628
ce shi dai ma 	測試代碼	c=1 d=1 t=1577
ce shi huan jing 	測試環境	c=1 d=1 t=11627
ce shi le yi 	測試了一	c=1 d=1 t=662
ce shi yuan ze 	測試原則	c=1 d=1 t=7142
ce zhong 	側重	c=1 d=1 t=12228
ceng 	蹭	c=2 d=1.8781 t=4666
ceng mian 	層面	c=1 d=1 t=8271
cha 	插	c=1 d=1 t=3646
cha 	查	c=4 d=0.299494 t=11238
cha bu duo 	差不多	c=1 d=1 t=2431
cha chong 	查重	c=6 d=1 t=12587
cha chong chu lai 	查重出來	c=1 d=1 t=8700
cha dao 	查到	c=1 d=1 t=746
cha dian 	差點	c=1 d=1 t=11243
cha gong yong 	查共用	c=1 d=1 t=11239
cha jian 	插件	c=9 d=1 t=13182
cha jian guan li 	插件管理	c=1 d=1 t=1850
cha jian ma 	插件嗎	c=1 d=1 t=5425
cha kan 	查看	c=9 d=1.01019 t=14419
cha kan ri li 	查看日曆	c=1 d=1 t=14420
cha le 	查了	c=1 d=1 t=14261
cha le xia 	查了下	c=1 d=1 t=10663
cha ru 	插入	c=4 d=1 t=14471
cha ru dao 	插入到	c=1 d=1 t=1603
cha shou 	查收	c=3 d=2.64093 t=7326
cha xun 	查詢	c=4 d=1.70695 t=9856
cha zhao 	查找	c=1 d=1 t=5980
chai ji 	拆機	c=1 d=1 t=2031
chai jie 	拆解	c=1 d=1 t=8560
chai xia lai 	拆下來	c=0 d=0.1 t=2027
chai xia lai de 	拆下來的	c=1 d=1 t=2028
chan 	產	c=1 d=1 t=8097
chan pin 	產品	c=3 d=1.19661 t=10486
chang 	償	c=1 d=1 t=6482
chang 	廠	c=1 d=1 t=9560
chang 	暢	c=3 d=2.88362 t=6497
chang jian 	常見	c=2 d=1.12185 t=1465
chang jing 	場景	c=1 d=1 t=1361
chang li 	暢利	c=0 d=0.1 t=6490
chang li ao 	暢利奧	c=1 d=1 t=6491
chang liao 	暢聊	c=1 d=1 t=6670
chang ping 	昌平	c=2 d=1.00017 t=13318
chang ping qu 	昌平區	c=7 d=4.84727 t=13653
chang rong 	長榮	c=1 d=1 t=11169
chang shi 	嘗試	c=1 d=0.100887 t=7342
chang shi xia 	嘗試下	c=1 d=1 t=7343
chang shi yi xia 	嘗試以下	c=1 d=1 t=6398
chang ting 	長亭	c=1 d=1 t=10467
chang xie 	常寫	c=0 d=0.1 t=10843
chang yong 	常用	c=7 d=1 t=14483
chao 	抄	c=1 d=1 t=10565
chao 	超	c=1 d=1 t=3624
chao bing 	炒餅	c=2 d=1.98511 t=2046
chao duan qun 	超短裙	c=1 d=1 t=9693
chao ji 	超級	c=2 d=1.99501 t=4993
chao ren 	超人	c=1 d=1 t=1773
chao shi 	超市	c=4 d=0.100159 t=10426
chao shi 	超時	c=1 d=1 t=8540
che 	車	c=1 d=1.00353 t=2618
che huo 	車禍	c=1 d=1 t=9450
che xiao 	撤銷	c=2 d=1.99005 t=6565
che zhu 	車主	c=1 d=1 t=2434
chen 	趁	c=1 d=0.1 t=9099
chen 	陳	c=2 d=1 t=9180
chen ying cai 	趁英才	c=1 d=1 t=9100
cheng 	城	c=1 d=1 t=4146
cheng 	成	c=4 d=1.21744 t=10321
cheng 	程	c=1 d=1 t=14524
cheng du 	程度	c=1 d=1 t=1832
cheng gong 	成功	c=5 d=1 t=14516
cheng ji 	成績	c=1 d=1 t=9645
cheng long 	成龍	c=3 d=2.95556 t=122
cheng nian ren 	成年人	c=7 d=3.62318 t=6815
cheng nian ren de shi jie 	成年人的世界	c=4 d=2.80391 t=6746
cheng wei 	成爲	c=3 d=1 t=12191
cheng xiao 	成效	c=1 d=1 t=8490
cheng xu 	程序	c=9 d=1.76095 t=11776
cheng zhen 	城鎮	c=4 d=2.00739 t=13637
chi 	喫	c=3 d=1.01462 t=11526
chi 	尺	c=1 d=1 t=7576
chi 	赤	c=9 d=5.79991 t=3578
chi chi chi chi chi 	叱吒叱叱吒	c=0 d=0.1 t=2128
chi fan 	喫飯	c=0 d=0.1 t=9292
chi ge fan 	吃個飯	c=1 d=1 t=14352
chi long 	赤龍	c=1 d=1 t=3590
chi qu 	喫去	c=0 d=0.1 t=14365
chi qu le 	喫去了	c=1 d=1 t=14366
chi ren 	喫人	c=1 d=1 t=1810
chi shen me 	喫什麼	c=1 d=1 t=7584
chi wan 	喫完	c=0 d=0.1 t=14534
chi xian 	赤縣	c=1 d=1 t=12656
chi xu xing 	持續性	c=0 d=0.1 t=2128
chong 	蟲	c=8 d=1.00124 t=7786
chong 	衝	c=1 d=1 t=12234
chong 	重	c=3 d=1 t=10867
chong fu 	重複	c=5 d=1 t=10503
chong fu xiang 	重複想	c=1 d=1 t=1304
chong gun 	蟲棍	c=1 d=0.146421 t=5930
chong lang 	衝浪	c=1 d=1 t=753
chong le 	衝了	c=1 d=1 t=2503
chong ming ming 	重命名	c=2 d=1.00157 t=1709
chong tu 	衝突	c=1 d=1 t=707
chong wu 	寵物	c=12 d=1 t=14096
chong wu yi yuan 	寵物醫院	c=1 d=1 t=2934
chong xin 	重新	c=8 d=1.20598 t=13257
chong xin jiao 	重新交	c=1 d=1 t=10434
chong zhe 	衝着	c=1 d=1 t=13030
chong zhi 	重置	c=1 d=1 t=10174
chou 	丑	c=2 d=1.93239 t=397
chou yan 	抽菸	c=1 d=1 t=6592
chu 	出	c=9 d=1.01276 t=13770
chu 	處	c=1 d=1 t=13794
chu chang 	出場	c=1 d=1 t=596
chu cuo 	出錯	c=1 d=1 t=7676
chu fei 	除非	c=1 d=1 t=4566
chu han 	出汗	c=1 d=1 t=2550
chu han 	楚漢	c=1 d=1 t=13267
chu jie guo 	出結果	c=1 d=1 t=9633
chu lai 	出來	c=5 d=1.00053 t=13972
chu lai de 	出來的	c=1 d=1 t=5072
chu le 	除了	c=4 d=1.00194 t=8986
chu li 	出力	c=2 d=1 t=7919
chu li 	處理	c=11 d=3.69991 t=14288
chu lu 	出路	c=0 d=0.1 t=6838
chu ma 	出馬	c=0 d=0.1 t=4174
chu pian 	出片	c=2 d=1.05843 t=5119
chu qin 	出勤	c=1 d=1 t=10012
chu qu 	出去	c=2 d=1.00114 t=13542
chu qu chi 	出去喫	c=1 d=1 t=13027
chu qu le 	出去了	c=1 d=1 t=12648
chu qu xia 	出取下	c=1 d=1 t=10415
chu sheng 	出生	c=1 d=1 t=10191
chu shi 	出事	c=1 d=1 t=12965
chu shi hua 	初始化	c=3 d=1 t=14281
chu xian 	出現	c=5 d=1.08256 t=14295
chu xian de 	出現的	c=1 d=1 t=477
chu xian ge 	出現個	c=1 d=1 t=14257
chu xian guo 	出現過	c=1 d=1 t=378
chu xian le 	出現了	c=1 d=1 t=3822
chu xian zai 	出現在	c=2 d=1.00023 t=4599
chuan 	串	c=1 d=1 t=9858
chuan 	傳	c=5 d=1 t=12781
chuan 	船	c=2 d=1 t=12253
chuan cheng 	傳承	c=1 d=1 t=10075
chuan tong 	傳統	c=1 d=1 t=8134
chuan yue 	穿越	c=2 d=1 t=12110
chuan zhi 	傳質	c=1 d=1 t=3719
chuang jian 	創建	c=7 d=1.98511 t=11185
chuang kou 	窗口	c=2 d=1 t=14023
chuang xiang 	創想	c=2 d=1.04372 t=8520
chuang zao 	創造	c=1 d=1 t=6546
chuang zhi 	創制	c=1 d=1 t=168
chuang zhi 	創智	c=3 d=1 t=11276
chui xiao 	吹簫	c=1 d=1 t=11503
chun yao 	春藥	c=1 d=1 t=9929
ci 	次	c=3 d=1 t=12161
ci 	此	c=1 d=1 t=5894
ci fa 	詞法	c=1 d=1 t=6449
ci ke 	刺客	c=1 d=1 t=4694
ci shu 	次數	c=1 d=1 t=4612
ci tiao 	詞條	c=3 d=2.16643 t=3673
cong 	從	c=12 d=1.00004 t=14518
cu xian 	粗線	c=1 d=1 t=7788
cui zhou ping 	崔州平	c=1 d=1 t=11413
cun 	存	c=6 d=5.05727 t=7087
cun 	寸	c=3 d=2.98012 t=1999
cun 	村	c=12 d=1.03707 t=10369
cun chu 	存儲	c=4 d=1 t=8316
cun dang 	存檔	c=9 d=2.04684 t=5173
cun qi lai 	存起來	c=1 d=1 t=3942
cun ru 	存入	c=1 d=1 t=9506
cun zai 	存在	c=4 d=1.57121 t=8276
cuo 	錯	c=2 d=1 t=7823
cuo le 	錯了	c=1 d=1 t=11436
cuo wu 	錯誤	c=7 d=1.4892 t=14432
da 	大	c=17 d=1.00014 t=14225
da 	打	c=11 d=1 t=12208
da 	答	c=8 d=2.11019 t=9536
da an 	答案	c=1 d=1 t=6638
da bao 	打包	c=5 d=3.25247 t=12948
da bao de hua 	打包的話	c=1 d=1 t=2029
da bian 	答辯	c=5 d=1.98514 t=11571
da bu 	打不	c=0 d=0.1 t=1966
da bu fen 	大部分	c=1 d=1 t=11844
da bu liao 	打不了	c=1 d=1 t=1967
da can 	大餐	c=1 d=1 t=7505
da chu 	打出	c=1 d=1 t=4018
da dian 	打點	c=1 d=1 t=3971
da dian hua 	打電話	c=1 d=1 t=6787
da duan 	打斷	c=0 d=0.1 t=9011
da fu 	答覆	c=1 d=1 t=13851
da gai 	大概	c=1 d=1 t=10957
da ge 	大哥	c=2 d=1.9802 t=8743
da guang 	打光	c=1 d=1 t=3781
da guo 	打過	c=0 d=0.1 t=3508
da hou tian 	大後天	c=1 d=1 t=14605
da hui 	大會	c=0 d=0.1 t=1483
da hui qu 	打回去	c=1 d=1 t=12797
da hui xuan 	大迴旋	c=1 d=1 t=5690
da jia 	大家	c=4 d=0.100001 t=9765
da jia dou 	大家都	c=0 d=0.1 t=8502
da jia dou zhi dao 	大家都知道	c=1 d=1 t=8503
da jia kan kan 	大家看看	c=0 d=0.1 t=1807
da jian 	大劍	c=6 d=4.98328 t=3592
da jian 	搭建	c=1 d=1 t=14482
da jiang jun 	大將軍	c=1 d=1 t=12169
da jie ju 	大結局	c=0 d=0.1 t=12086
da jun 	大軍	c=0 d=0.1 t=12804
da kai 	打開	c=10 d=1.9802 t=14016
da kai shi 	打開是	c=1 d=1 t=8617
da kai wen jian 	打開文件	c=1 d=1 t=4758
